Empresa,Prefixo,Carroceria,Ano,Chassi,Portas,Letreiro,Elevador,Ar
Santa Rosa,111,Mascarello Gran Via V,2024,Volkswagen 17.230,2,Inova,Sim,Não
Santa Rosa,112,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,113,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,114,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,115,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,116,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,117,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
São Jorge,206,Mascarello Gran Via IV,2013,Volvo B270F,3,Inova,Sim,Não
São Jorge,216,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,218,Mascarello Gran Via V,2023,Volkswagen 17.230,2,Inova,Sim,Não
São Jorge,220,Mascarello Gran Via V,2023,Volkswagen 17.230,2,Inova,Sim,Não
São Jorge,222,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,224,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,226,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,228,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,230,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,232,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,234,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,242,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,246,Mascarello Gran Via IV,2015,Volvo B270F,2,Inova,Sim,Não
São Jorge,254,Volare W-L,2015,Agrale W-L,1,SetBus,Sim,Não
São Jorge,256,Volare W-L,2015,Agrale W-L,1,SetBus,Sim,Não
Santa Silvana,305,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Silvana,306,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Silvana,308,Comil Svelto 6,2017,Iveco 170S28U,2,Mobitec,Sim,Não
Santa Silvana,310,Comil Svelto 6,2017,Iveco 170S28U,2,Mobitec,Sim,Não
Santa Silvana,312,Comil Svelto 6,2017,Iveco 170S28U,2,Mobitec,Sim,Não
Santa Silvana,346,Mascarello Gran Via V,2023,Mercedes-Benz OF-1721,2,Luminator,Sim,Não
Laranjal,402,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,403,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,404,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,405,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,406,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,407,Comil Svelto 6,2016,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,408,Marcopolo Torino G8,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,409,Marcopolo Torino G8,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,410,Marcopolo Torino G8,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,411,Marcopolo Torino G8,2018,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Laranjal,416,Mascarello Gran Via IV CT,2022,Mercedes-Benz OF-1721,2,Luminator,Sim,Não
Laranjal,417,Mascarello Gran Via IV CT,2022,Mercedes-Benz OF-1721,2,Luminator,Sim,Não
Laranjal,418,Comil Svelto 6,2023,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,419,Marcopolo Torino S,2024,Mercedes-Benz OF-1721,2,Luminator,Sim,Não
Laranjal,420,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,421,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,422,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,423,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,424,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,425,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,426,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,427,Marcopolo Torino S,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,428,Comil Svelto 6,2024,Volkswagen 17.230,2,Luminator,Sim,Não
Laranjal,435,Marcopolo Torino G7,2013,Volkswagen 17.230,2,Mobitec,Não,Não
Laranjal,436,Marcopolo Torino G7,2012,Volkswagen 17.230 VT,2,Mobitec,Não,Não
Laranjal,437,Marcopolo Torino G7,2013,Agrale MA 17.0,2,Mobitec,Sim,Não
Laranjal,438,Marcopolo Torino G7,2013,Scania F250HB,2,Mobitec,Sim,Não
Laranjal,439,Marcopolo Torino G8,2014,Volkswagen 17.230,2,Mobitec,Sim,Não
Conquistadora,501,Comil Svelto 6,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Conquistadora,502,Comil Svelto 6,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Conquistadora,503,Comil Svelto 6,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Conquistadora,504,Comil Svelto 6,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
Conquistadora,505,Comil Svelto 6,2015,Mercedes-Benz OF-1721,2,Mobitec,Sim,Não
